                    1000           LOG            Wed May 08 08:04:57 2024
                    1000           LOG            Wed May 08 08:12:40 2024
                    1000           LOG            Wed May 08 08:14:36 2024
                    1000           LOG            Wed May 08 08:15:42 2024
                    1000           LOG            Wed May 08 08:17:33 2024
                    1000           LOG            Wed May 08 08:18:43 2024
                    1000           LOG            Wed May 08 08:32:49 2024
                    1000           LOG            Wed May 08 08:41:42 2024
                    1000           LOG            Wed May 08 09:07:47 2024
                    1              LOGOUT         Wed May 08 09:15:53 2024
admin               1000           LGI            Wed May 08 09:26:47 2024
admin               1000           LGI            Thu May 16 14:58:00 2024
admin               1000           LGI            Thu May 16 15:04:54 2024
admin               1000           LGI            Thu May 16 15:06:07 2024
admin               1000           LGI            Thu May 16 15:06:32 2024
